;http3;webrtc;websockets;webtransport
http3;1.0;2.911296241264386e-126;3.1753128056214206e-36;0.0016513428203818467
webrtc;2.911296241264386e-126;1.0;3.0911149629373826e-280;1.2634530846207426e-166
websockets;3.1753128056214206e-36;3.0911149629373826e-280;1.0;2.476510127036376e-19
webtransport;0.0016513428203818467;1.2634530846207426e-166;2.476510127036376e-19;1.0
