;http3;webrtc;websockets;webtransport
http3;1.0;1.0;1.0;1.0610605590902027e-09
webrtc;1.0;1.0;0.5789668960508099;3.858404037307478e-06
websockets;1.0;0.5789668960508099;1.0;4.585851829266362e-10
webtransport;1.0610605590902027e-09;3.858404037307478e-06;4.585851829266362e-10;1.0
