;http3;webrtc;websockets;webtransport
http3;1.0;0.07607203776487514;1.571234440371068e-07;1.0
webrtc;0.07607203776487514;1.0;0.010621659408030372;0.07553450880205323
websockets;1.571234440371068e-07;0.010621659408030372;1.0;1.567437821416269e-07
webtransport;1.0;0.07553450880205323;1.567437821416269e-07;1.0
